mean,sd,min,max,cv,n,region_id,indicator
1151843,28732.89019379862,1101440,1176990,0.02494514460199751,10,DE14,pop_tot_total
2695209,71035.45757030233,2569700,2768840,0.02635619633590654,10,DE21,pop_tot_total
721956,25701.823627473943,675210,744420,0.035600263211987906,10,DE22,pop_tot_total
653097,24675.43224883136,610120,676120,0.03778218587565302,10,DE23,pop_tot_total
602049,28976.461884317992,550200,638310,0.048129740078163064,10,DE24,pop_tot_total
1014946,36022.545471166006,950150,1044040,0.03549208083106491,10,DE25,pop_tot_total
754247,38159.50152539557,693370,801640,0.050592844950520945,10,DE26,pop_tot_total
1087391,33124.85855735002,1024400,1114380,0.03046269332498615,10,DE27,pop_tot_total
1973344,32335.22991001198,1904760,2020150,0.016386007665167342,10,DE30,pop_tot_total
891639,81367.61169053828,790270,1013880,0.09125622779010147,10,DE40,pop_tot_total
440161,6564.843147825814,430720,450100,0.01491464066063512,10,DE50,pop_tot_total
1100030,22131.263959486012,1065280,1124860,0.020118782178200605,10,DE60,pop_tot_total
2194122,45921.10717790289,2132820,2253170,0.02092914941735368,10,DE71,pop_tot_total
697642,30958.52343593495,638160,724750,0.044375945593778686,10,DE72,pop_tot_total
675980,31858.37130523502,614320,704910,0.04712916255693219,10,DE73,pop_tot_total
628264,39886.056098730936,570550,676200,0.06348613974178202,10,DE80,pop_tot_total
913872,34758.98950071925,849580,951350,0.038034855538542876,10,DE91,pop_tot_total
1201286,40235.28722126608,1124200,1242670,0.03349351213721469,10,DE92,pop_tot_total
874842,25541.058796464262,824620,892750,0.029195053274150375,10,DE93,pop_tot_total
1523573,43441.52878678803,1433610,1557920,0.028512929007529032,10,DE94,pop_tot_total
2815143,97624.7202357636,2659860,2931680,0.03467842316918309,10,DEA1,pop_tot_total
2708330,73522.52066166152,2566800,2770480,0.0271468102711492,10,DEA2,pop_tot_total
1578719,43124.878473258716,1502650,1632680,0.027316373891274327,10,DEA3,pop_tot_total
1212222,31987.427321787956,1152820,1255170,0.026387433425385742,10,DEA4,pop_tot_total
2061284,79258.05647097054,1922090,2163860,0.038450818262292116,10,DEA5,pop_tot_total
786104,30269.76349795654,734550,821560,0.038506054539802034,10,DEB1,pop_tot_total
312128,22399.228558144587,275000,344530,0.0717629580112793,10,DEB2,pop_tot_total
1177270,45560.56603882109,1097950,1216220,0.038700184357726854,10,DEB3,pop_tot_total
526731,25128.86275447684,495690,562830,0.04770720302104269,10,DEC0,pop_tot_total
666671,41963.66323645044,608320,730200,0.06294508571161854,10,DED2,pop_tot_total
508956,36670.70195976922,460760,568750,0.07205082946221131,10,DED4,pop_tot_total
533470,54396.05908928003,461950,608830,0.10196648188141795,10,DED5,pop_tot_total
882182,41176.081460532936,827030,933960,0.04667526821056532,10,DEE0,pop_tot_total
1556961,30279.14223429132,1499110,1581240,0.01944759196556068,10,DEF0,pop_tot_total
865335,58653.287347485195,786860,958170,0.0677810181576906,10,DEG0,pop_tot_total
675073,59621.943210719175,620270,804990,0.08831925319294236,10,EE00,pop_tot_total
494527,33908.5315550854,446240,543020,0.06856760410470085,10,IE04,pop_tot_total
964915,62478.15373748207,876820,1073950,0.0647499041236607,10,IE05,pop_tot_total
1518300,84684.78257632832,1413340,1610750,0.055776053860454665,10,IE06,pop_tot_total
1888402,48574.97956767455,1820330,1974370,0.025722796082441424,10,EL30,pop_tot_total
126716,14158.654361673405,105210,147580,0.11173533225222865,10,EL41,pop_tot_total
173930,13052.755349818757,158060,196840,0.07504602627389614,10,EL42,pop_tot_total
348222,12566.063469166114,326390,369080,0.03608635717779495,10,EL43,pop_tot_total
343074,17750.7152907519,309440,367970,0.051740193925368584,10,EL51,pop_tot_total
989065,28780.85638830861,944960,1034410,0.02909905454981079,10,EL52,pop_tot_total
134767,7636.028708985086,122990,140630,0.056660968256213216,10,EL53,pop_tot_total
170692,8307.493003307316,159200,188140,0.04866949243846997,10,EL54,pop_tot_total
353389,18425.428353229676,329690,382160,0.05213922434832345,10,EL61,pop_tot_total
88397,6663.45931179894,76300,92660,0.07538105718292408,10,EL62,pop_tot_total
382441,17214.48902007324,367890,419390,0.04501214310200329,10,EL63,pop_tot_total
248702,21206.38677380001,219340,280610,0.08526825990060398,10,EL64,pop_tot_total
236343,7726.409328472774,228730,252020,0.03269150907144605,10,EL65,pop_tot_total
1124515,38166.31331714163,1079070,1192300,0.03394024385369837,10,ES11,pop_tot_total
392104,12026.387838600767,377170,411830,0.03067142349631926,10,ES12,pop_tot_total
251501,13537.684399072425,237800,279550,0.053827556944395547,10,ES13,pop_tot_total
974257,81367.92994376429,885810,1119170,0.08351793206901699,10,ES21,pop_tot_total
337225,28583.7413965041,303590,384690,0.08476163213434385,10,ES22,pop_tot_total
150039,7434.321982086419,141470,163920,0.04954926373867074,10,ES23,pop_tot_total
633997,30517.99835070009,603250,694150,0.04813587185854206,10,ES24,pop_tot_total
3359050,298480.95591585815,3069940,3945010,0.0888587415834412,10,ES30,pop_tot_total
1060274,30603.494426472138,1025170,1119510,0.02886376014735072,10,ES41,pop_tot_total
1090378,31798.091766645368,1051720,1139540,0.029162448037878028,10,ES42,pop_tot_total
567591,34103.51055569239,538910,635770,0.060084657007761555,10,ES43,pop_tot_total
3874158,326766.4329898175,3541000,4478050,0.08434514880131826,10,ES51,pop_tot_total
2521245,152293.5656516351,2388570,2848640,0.06040411211589317,10,ES52,pop_tot_total
610522,39385.58670376766,573120,692100,0.06451133080178545,10,ES53,pop_tot_total
4565384,130397.80776957529,4399510,4779520,0.028562286933492404,10,ES61,pop_tot_total
843777,47718.0343382993,798020,933310,0.05655289767118481,10,ES62,pop_tot_total
55809,1533.1264353166266,54490,59400,0.0274709533465324,10,ES63,pop_tot_total
60576,1602.0833658430859,58790,63730,0.026447493493183535,10,ES64,pop_tot_total
1170708,47963.21850010577,1127190,1268210,0.04096941209943536,10,ES70,pop_tot_total
8021498,292376.6951041071,7580970,8438800,0.03644913893939849,10,FR10,pop_tot_total
1293643,32534.571714818478,1239410,1330110,0.02514957504877194,10,FRB0,pop_tot_total
818421,15227.395232131974,791310,839040,0.018605821737384516,10,FRC1,pop_tot_total
629958,10193.25899253467,609840,643510,0.01618085490228661,10,FRC2,pop_tot_total
769678,7559.198664173634,757120,779470,0.009821248189728217,10,FRD1,pop_tot_total
1038856,20286.17109702513,1007520,1065960,0.019527413902432223,10,FRD2,pop_tot_total
2563731,28494.297070739533,2511400,2598020,0.01111438644332792,10,FRE1,pop_tot_total
1062800,17373.368508534357,1039210,1091550,0.01634679009083022,10,FRE2,pop_tot_total
1122112,15458.322318055374,1098730,1145140,0.013776095717767365,10,FRF1,pop_tot_total
746296,11666.83828445203,725790,770290,0.015632990508393493,10,FRF2,pop_tot_total
1319177,24596.179039300663,1291120,1378240,0.01864509390271409,10,FRF3,pop_tot_total
2096826,86290.11945498486,1998860,2229540,0.04115273248947927,10,FRG0,pop_tot_total
1792626,59303.693945280975,1719050,1870180,0.03308202265574692,10,FRH0,pop_tot_total
1844260,45475.48839148893,1785090,1907530,0.024657851057599756,10,FRI1,pop_tot_total
