mean,sd,min,max,cv,n,region_id,indicator
445.9,124.29753729570743,320,705,0.2787565312754147,10,HU11,labour_mk_slack_total_20_64_y
306.9,79.94366071733823,209,499,0.26048765303792193,10,HU12,labour_mk_slack_total_20_64_y
225.2,67.29173632607333,153,368,0.2988087758706631,10,HU21,labour_mk_slack_total_20_64_y
217.2,43.250690424803885,146,316,0.19912840895397738,10,HU22,labour_mk_slack_total_20_64_y
389.6,92.57573476168939,281,608,0.2376173890187099,10,HU23,labour_mk_slack_total_20_64_y
561.4,89.59563481430207,470,772,0.1595932219706129,10,HU31,labour_mk_slack_total_20_64_y
751,169.04174369400923,593,1113,0.2250888730945529,10,HU32,labour_mk_slack_total_20_64_y
409.7,113.44313308633734,291,670,0.27689317326418683,10,HU33,labour_mk_slack_total_20_64_y
144.3,18.14172599898428,122,187,0.12572228689524795,10,MT00,labour_mk_slack_total_20_64_y
429.4,97.32100378529692,341,644,0.2266441634496901,10,NL11,labour_mk_slack_total_20_64_y
387.9,89.34881706609836,309,572,0.2303398222895034,10,NL12,labour_mk_slack_total_20_64_y
259,67.18961559976694,201,391,0.2594193652500654,10,NL13,labour_mk_slack_total_20_64_y
633.8,138.35445621863994,517,883,0.2182935566718838,10,NL21,labour_mk_slack_total_20_64_y
1086.7,214.09605839954696,872,1498,0.19701486923672307,10,NL22,labour_mk_slack_total_20_64_y
236.9,63.47606723097384,181,365,0.26794456408178063,10,NL23,labour_mk_slack_total_20_64_y
1643.9,304.6522425469553,1300,2258,0.18532285573754806,10,NL32,labour_mk_slack_total_20_64_y
155.1,45.395667928412145,122,268,0.2926864469916966,10,NL34,labour_mk_slack_total_20_64_y
1261.6,291.0151580626381,1058,1875,0.23067149497672645,10,NL41,labour_mk_slack_total_20_64_y
557.6,138.381276832445,423,828,0.2481730215789903,10,NL42,labour_mk_slack_total_20_64_y
146.5,21.884799392373797,118,186,0.1493842961936778,10,AT11,labour_mk_slack_total_20_64_y
807.9,109.99136329730621,638,980,0.13614477447370493,10,AT12,labour_mk_slack_total_20_64_y
1866.3,135.549949793015,1688,2054,0.0726303112002438,10,AT13,labour_mk_slack_total_20_64_y
280.8,48.13591867479696,221,368,0.17142421180483247,10,AT21,labour_mk_slack_total_20_64_y
612.4,104.58085654437697,479,763,0.17077213674783961,10,AT22,labour_mk_slack_total_20_64_y
632.7,89.4713486107269,506,740,0.14141196240039022,10,AT31,labour_mk_slack_total_20_64_y
216.8,35.42064683517542,168,261,0.16337936732091982,10,AT32,labour_mk_slack_total_20_64_y
316.8,45.87131759365298,266,381,0.14479582573754096,10,AT33,labour_mk_slack_total_20_64_y
164.5,13.729530217745982,145,183,0.0834621897735318,10,AT34,labour_mk_slack_total_20_64_y
878.5,319.26103913742924,556,1542,0.3634160946356622,10,PL21,labour_mk_slack_total_20_64_y
1273.7,572.9801334543226,729,2398,0.4498548586435759,10,PL22,labour_mk_slack_total_20_64_y
869.7,294.9693204385839,535,1381,0.33916214837137393,10,PL41,labour_mk_slack_total_20_64_y
546.6,217.36615294117078,307,899,0.39766950775918547,10,PL42,labour_mk_slack_total_20_64_y
240.3,141.98751901331173,114,538,0.5908760674711266,10,PL43,labour_mk_slack_total_20_64_y
