STRUCTURE,STRUCTURE_ID,freq,sectperf,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CZ,2016,1.65,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CZ,2017,1.75,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CZ,2018,1.88,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CZ,2019,1.9,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CZ,2020,1.95,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CZ,2021,1.93,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CZ,2022,1.89,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CZ,2023,1.82,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CZ,2024,1.82,p,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,DE,2010,2.68,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,DE,2011,2.75,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,DE,2012,2.83,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,DE,2013,2.78,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,DE,2014,2.82,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,DE,2015,2.88,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,DE,2016,2.88,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,DE,2017,2.99,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,DE,2018,3.05,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,DE,2019,3.11,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,DE,2020,3.09,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,DE,2021,3.07,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,DE,2022,3.04,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,DE,2023,3.13,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,DE,2024,3.13,p,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,DK,2010,2.91,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,DK,2011,2.94,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,DK,2012,2.98,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,DK,2013,2.96,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,DK,2014,2.92,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,DK,2015,3.06,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,DK,2016,3.1,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,DK,2017,2.94,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,DK,2018,2.98,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,DK,2019,2.95,p,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,DK,2020,2.97,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,DK,2021,2.76,p,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,DK,2022,2.88,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,DK,2023,3.07,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,DK,2024,3.01,p,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,EE,2010,1.58,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,EE,2011,2.3,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,EE,2012,2.1,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,EE,2013,1.7,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,EE,2014,1.41,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,EE,2015,1.44,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,EE,2016,1.22,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,EE,2017,1.25,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,EE,2018,1.38,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,EE,2019,1.59,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,EE,2020,1.73,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,EE,2021,1.75,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,EE,2022,1.77,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,EE,2023,1.83,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,EE,2024,1.99,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,EL,2010,0.6,e,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,EL,2011,0.68,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,EL,2012,0.72,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,EL,2013,0.82,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,EL,2014,0.85,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,EL,2015,0.97,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,EL,2016,1.01,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,EL,2017,1.15,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,EL,2018,1.21,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,EL,2019,1.26,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,EL,2020,1.49,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,EL,2021,1.43,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,EL,2022,1.48,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,EL,2023,1.5,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,EL,2024,1.54,p,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,ES,2010,1.35,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,ES,2011,1.33,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,ES,2012,1.29,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,ES,2013,1.27,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,ES,2014,1.23,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,ES,2015,1.21,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,ES,2016,1.18,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,ES,2017,1.2,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,ES,2018,1.23,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,ES,2019,1.24,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,ES,2020,1.4,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,ES,2021,1.4,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,ES,2022,1.4,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,ES,2023,1.49,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,ES,2024,1.5,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,FI,2010,3.71,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,FI,2011,3.62,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,FI,2012,3.41,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,FI,2013,3.28,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,FI,2014,3.16,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,FI,2015,2.89,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,FI,2016,2.75,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,FI,2017,2.75,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,FI,2018,2.78,,
