STRUCTURE,STRUCTURE_ID,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BG,2015,-6.7,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BG,2016,-6.8,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BG,2017,-6.8,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BG,2018,-7.0,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BG,2019,-7.3,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BG,2020,4.3,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BG,2021,6.3,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BG,2022,4.2,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BG,2023,6.4,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BG,2024,6.1,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BY,2010,3.2,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BY,2011,1.0,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BY,2012,1.0,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BY,2014,1.7,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BY,2015,1.9,e,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BY,2016,0.8,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BY,2017,0.4,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BY,2018,1.0,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BY,2019,-3.6,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CH,2010,7.7,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CH,2011,8.3,b,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CH,2012,8.3,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CH,2013,10.2,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CH,2014,9.4,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CH,2015,8.5,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CH,2016,8.3,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CH,2017,5.2,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CH,2018,4.7,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CH,2019,5.0,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CH,2020,6.3,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CH,2021,5.7,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CH,2022,7.8,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CH,2023,15.6,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CH,2024,9.2,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CY,2010,19.2,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CY,2011,21.3,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CY,2012,-0.7,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CY,2013,-8.2,,
