STRUCTURE,STRUCTURE_ID,freq,unit,training,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CY,2008,8.8,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CY,2009,8.3,b,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CY,2010,8.1,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CY,2011,7.8,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CY,2012,7.7,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CY,2013,7.2,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CY,2014,7.1,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CY,2015,7.5,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CY,2016,6.9,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CY,2017,6.9,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CY,2018,6.7,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CY,2019,5.8,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CY,2020,4.6,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CY,2021,9.7,b,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CY,2022,10.5,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CY,2023,10.9,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CY,2024,11.2,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CY,2025,12.0,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CZ,2004,6.3,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CZ,2005,5.6,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CZ,2006,5.8,b,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CZ,2007,6.0,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CZ,2008,8.0,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CZ,2009,7.1,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CZ,2010,7.8,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CZ,2011,11.6,b,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CZ,2012,11.1,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CZ,2013,10.0,b,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CZ,2014,9.6,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CZ,2015,8.5,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CZ,2016,8.8,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CZ,2017,9.8,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CZ,2018,8.5,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CZ,2019,8.1,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CZ,2020,5.5,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CZ,2021,5.8,b,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CZ,2022,9.4,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CZ,2023,9.9,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CZ,2024,10.8,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CZ,2025,11.1,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DE,2004,7.4,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DE,2005,7.7,b,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DE,2006,7.5,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DE,2007,7.8,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DE,2008,8.1,b,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DE,2009,8.0,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DE,2010,7.8,b,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DE,2011,7.9,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DE,2012,7.9,b,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DE,2013,7.9,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DE,2014,8.0,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DE,2015,8.1,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DE,2016,8.5,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DE,2017,8.4,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DE,2018,8.2,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DE,2019,8.2,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DE,2020,7.7,b,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DE,2021,7.7,b,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DE,2022,8.1,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DE,2023,8.1,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DE,2024,9.3,b,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DE,2025,9.3,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DK,2004,26.5,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DK,2005,27.4,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DK,2006,29.2,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DK,2007,29.1,b,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DK,2008,29.9,b,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DK,2009,31.4,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DK,2010,32.7,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DK,2011,32.3,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DK,2012,31.6,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DK,2013,31.5,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DK,2014,31.9,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DK,2015,31.5,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DK,2016,28.0,b,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DK,2017,26.9,b,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DK,2018,23.5,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DK,2019,25.3,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DK,2020,20.0,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DK,2021,22.4,b,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DK,2022,27.9,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DK,2023,30.5,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DK,2024,31.2,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,DK,2025,31.0,b,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,EE,2004,7.1,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,EE,2005,6.0,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,EE,2006,6.5,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,EE,2007,7.0,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,EE,2008,9.7,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,EE,2009,10.5,b,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,EE,2010,11.0,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,EE,2011,11.9,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,EE,2012,12.8,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,EE,2013,12.6,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,EE,2014,11.6,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,EE,2015,11.9,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,EE,2016,15.3,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,EE,2017,16.8,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,EE,2018,19.3,,
