STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),unit,Unit of measure,sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HTEC_EMP_REG2(1.0),Employed persons in technology and knowledge-intensive sectors by NACE Rev. 2 activity and NUTS 2 region (2008-2026),A,Annual,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,T,Total,BG,Bulgaria,2013,,3.4,,,,,
dataflow,ESTAT:HTEC_EMP_REG2(1.0),Employed persons in technology and knowledge-intensive sectors by NACE Rev. 2 activity and NUTS 2 region (2008-2026),A,Annual,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,T,Total,BG,Bulgaria,2014,,3.3,,,,,
dataflow,ESTAT:HTEC_EMP_REG2(1.0),Employed persons in technology and knowledge-intensive sectors by NACE Rev. 2 activity and NUTS 2 region (2008-2026),A,Annual,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,T,Total,BG,Bulgaria,2015,,3.7,,,,,
dataflow,ESTAT:HTEC_EMP_REG2(1.0),Employed persons in technology and knowledge-intensive sectors by NACE Rev. 2 activity and NUTS 2 region (2008-2026),A,Annual,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,T,Total,BG,Bulgaria,2016,,3.9,,,,,
dataflow,ESTAT:HTEC_EMP_REG2(1.0),Employed persons in technology and knowledge-intensive sectors by NACE Rev. 2 activity and NUTS 2 region (2008-2026),A,Annual,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,T,Total,BG,Bulgaria,2017,,3.6,,,,,
dataflow,ESTAT:HTEC_EMP_REG2(1.0),Employed persons in technology and knowledge-intensive sectors by NACE Rev. 2 activity and NUTS 2 region (2008-2026),A,Annual,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,T,Total,BG,Bulgaria,2018,,3.9,,,,,
dataflow,ESTAT:HTEC_EMP_REG2(1.0),Employed persons in technology and knowledge-intensive sectors by NACE Rev. 2 activity and NUTS 2 region (2008-2026),A,Annual,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,T,Total,BG,Bulgaria,2019,,3.9,,b,break in time series,,
dataflow,ESTAT:HTEC_EMP_REG2(1.0),Employed persons in technology and knowledge-intensive sectors by NACE Rev. 2 activity and NUTS 2 region (2008-2026),A,Annual,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,T,Total,BG,Bulgaria,2020,,4.2,,,,,
dataflow,ESTAT:HTEC_EMP_REG2(1.0),Employed persons in technology and knowledge-intensive sectors by NACE Rev. 2 activity and NUTS 2 region (2008-2026),A,Annual,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,T,Total,BG,Bulgaria,2021,,4.5,,b,break in time series,,
dataflow,ESTAT:HTEC_EMP_REG2(1.0),Employed persons in technology and knowledge-intensive sectors by NACE Rev. 2 activity and NUTS 2 region (2008-2026),A,Annual,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,T,Total,BG,Bulgaria,2022,,4.8,,,,,
dataflow,ESTAT:HTEC_EMP_REG2(1.0),Employed persons in technology and knowledge-intensive sectors by NACE Rev. 2 activity and NUTS 2 region (2008-2026),A,Annual,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,T,Total,BG,Bulgaria,2023,,5.1,,,,,
