STRUCTURE,STRUCTURE_ID,freq,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,EE,2023,6.2,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,EE,2024,7.4,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,EE,2025,7.1,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,EL,2009,9.7,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,EL,2010,12.9,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,EL,2011,18.0,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,EL,2012,24.6,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,EL,2013,27.6,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,EL,2014,26.5,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,EL,2015,24.9,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,EL,2016,23.8,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,EL,2017,21.8,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,EL,2018,19.7,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,EL,2019,17.9,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,EL,2020,17.7,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,EL,2021,14.7,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,EL,2022,12.3,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,EL,2023,11.0,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,EL,2024,10.0,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,EL,2025,8.8,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,ES,2009,17.2,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,ES,2010,19.3,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,ES,2011,20.9,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,ES,2012,24.3,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,ES,2013,25.6,,
