STRUCTURE,STRUCTURE_ID,freq,wstatus,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,CY,2011,11.9,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,CY,2012,12.8,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,CY,2013,14.5,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,CY,2014,15.7,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,CY,2015,15.8,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,CY,2016,14.3,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,CY,2017,13.5,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,CY,2018,12.0,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,CY,2019,11.8,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,CY,2020,11.9,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,CY,2021,11.7,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,CY,2022,10.8,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,CY,2023,12.5,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,CY,2024,12.7,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,CY,2025,13.2,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,CZ,2009,6.1,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,CZ,2010,6.6,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,CZ,2011,6.4,b,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,CZ,2012,6.6,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,CZ,2013,7.4,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,CZ,2014,7.8,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,CZ,2015,8.1,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,CZ,2016,7.9,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,CZ,2017,7.8,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,CZ,2018,6.9,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,CZ,2019,6.3,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,CZ,2020,5.7,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,CZ,2021,5.3,,
